measurement_type,datetimems,measurement
ECG,1404713983960,508
ECG,1404713983964,508
ECG,1404713983968,508
ECG,1404713983972,508
ECG,1404713983976,508
ECG,1404713983980,508
ECG,1404713983984,507
ECG,1404713983988,507
ECG,1404713983992,506
ECG,1404713983996,506
ECG,1404713984000,506
ECG,1404713984004,505
ECG,1404713984008,505
ECG,1404713984012,505
ECG,1404713984016,505
ECG,1404713984020,505
ECG,1404713984024,505
ECG,1404713984028,505
ECG,1404713984032,505
ECG,1404713984036,505
ECG,1404713984040,505
ECG,1404713984044,505
ECG,1404713984048,505
ECG,1404713984052,505
ECG,1404713984056,505
ECG,1404713984060,505
ECG,1404713984064,505
ECG,1404713984108,505
ECG,1404713984112,505
ECG,1404713984116,505
ECG,1404713984120,505
ECG,1404713984124,505
ECG,1404713984128,504
ECG,1404713984132,504
ECG,1404713984136,505
ECG,1404713984140,507
ECG,1404713984144,512
ECG,1404713984148,519
ECG,1404713984152,528
ECG,1404713984156,536
ECG,1404713984160,542
ECG,1404713984164,541
ECG,1404713984168,533
ECG,1404713984172,520
ECG,1404713984176,507
ECG,1404713984180,498
ECG,1404713984184,495
ECG,1404713984188,498
ECG,1404713984192,502
ECG,1404713984196,505
ECG,1404713984200,506
ECG,1404713984204,505
ECG,1404713984208,505
ECG,1404713984212,506
ECG,1404713984216,507
ECG,1404713984220,507
ECG,1404713984224,507
ECG,1404713984228,507
ECG,1404713984232,507
ECG,1404713984236,507
ECG,1404713984240,507
ECG,1404713984244,507
ECG,1404713984248,507
ECG,1404713984252,507
ECG,1404713984256,507
ECG,1404713984260,508
ECG,1404713984264,508
ECG,1404713984268,508
ECG,1404713984272,509
ECG,1404713984276,509
ECG,1404713984280,509
ECG,1404713984284,509
ECG,1404713984288,509
ECG,1404713984292,510
ECG,1404713984296,510
ECG,1404713984300,510
ECG,1404713984304,511
ECG,1404713984308,511
ECG,1404713984312,512
ECG,1404713984316,512
ECG,1404713984320,512
ECG,1404713984324,513
ECG,1404713984328,513
ECG,1404713984332,514
ECG,1404713984336,515
ECG,1404713984340,515
ECG,1404713984344,516
ECG,1404713984348,516
ECG,1404713984352,516
ECG,1404713984356,516
ECG,1404713984324,516
ECG,1404713984328,517
ECG,1404713984332,517
ECG,1404713984336,517
ECG,1404713984340,517
ECG,1404713984344,517
ECG,1404713984348,517
ECG,1404713984352,517
ECG,1404713984356,516
ECG,1404713984360,515
ECG,1404713984364,514
ECG,1404713984368,513
ECG,1404713984372,512
ECG,1404713984376,511
ECG,1404713984380,510
ECG,1404713984384,509
ECG,1404713984388,508
ECG,1404713984392,507
ECG,1404713984396,507
ECG,1404713984400,506
ECG,1404713984404,505
ECG,1404713984408,505
ECG,1404713984412,504
ECG,1404713984416,504
ECG,1404713984420,504
ECG,1404713984424,504
ECG,1404713984428,504
ECG,1404713984432,504
ECG,1404713984436,504
ECG,1404713984440,504
ECG,1404713984444,503
ECG,1404713984448,503
ECG,1404713984452,503
ECG,1404713984456,503
ECG,1404713984460,504
ECG,1404713984464,504
ECG,1404713984468,504
ECG,1404713984472,504
ECG,1404713984476,505
ECG,1404713984480,505
ECG,1404713984484,505
ECG,1404713984488,505
ECG,1404713984492,505
ECG,1404713984496,505
ECG,1404713984500,505
ECG,1404713984504,505
ECG,1404713984508,505
ECG,1404713984512,505
ECG,1404713984516,505
ECG,1404713984520,505
ECG,1404713984524,504
ECG,1404713984528,504
ECG,1404713984532,504
ECG,1404713984536,504
ECG,1404713984540,505
ECG,1404713984544,505
ECG,1404713984548,505
ECG,1404713984552,505
ECG,1404713984556,505
ECG,1404713984560,505
ECG,1404713984564,506
ECG,1404713984568,506
ECG,1404713984572,506
ECG,1404713984584,506
ECG,1404713984588,506
ECG,1404713984592,506
ECG,1404713984596,506
ECG,1404713984600,507
ECG,1404713984604,507
ECG,1404713984608,506
ECG,1404713984612,506
ECG,1404713984616,506
ECG,1404713984620,505
ECG,1404713984624,505
ECG,1404713984628,504
ECG,1404713984632,504
ECG,1404713984636,504
ECG,1404713984640,503
ECG,1404713984644,503
ECG,1404713984648,503
ECG,1404713984652,503
ECG,1404713984656,503
ECG,1404713984660,503
ECG,1404713984664,503
ECG,1404713984668,503
ECG,1404713984672,502
ECG,1404713984676,503
ECG,1404713984680,503
ECG,1404713984684,503
ECG,1404713984688,503
ECG,1404713984692,503
ECG,1404713984696,503
ECG,1404713984700,503
ECG,1404713984704,503
ECG,1404713984708,503
ECG,1404713984712,503
ECG,1404713984716,503
ECG,1404713984720,502
ECG,1404713984724,501
ECG,1404713984728,500
ECG,1404713984732,501
ECG,1404713984736,505
ECG,1404713984740,511
ECG,1404713984744,518
ECG,1404713984748,528
ECG,1404713984752,537
ECG,1404713984756,541
ECG,1404713984760,539
ECG,1404713984764,528
ECG,1404713984768,513
ECG,1404713984772,500
